x	y	headinng	sonar_ang	read	Expected 20	Expected 25	Expected 30	Expected 35	Expected 40	Expected 45	Expected 50	Erro 20	Erro 25	Erro 30	Erro 35	Erro 40	Erro 45	Erro 50	Linhas ruins
59	66	0	38	84	69,3965072632	66,2172470093	63,6335487366	61,69581604	60,3180923462	59,4430809021	59,0359611511	213,2620001143	10,1076957621	6,6754967644	3,7548080032	1,8981225766	0,7656450273	0,1657464916	33,8042163913
59	66	0	37	62	69,0156555176	66,8216323853	64,0952606201	62,0362701416	60,551940918	59,579826355	59,0809669495	49,2194223413	4,8137375052	7,4331030017	4,2394417906	2,2032332441	0,9450067236	0,2488607065	9,8718293304
59	66	0	36	61	68,6597595215	67,2353057861	64,5835418701	62,3996200562	60,8062019348	59,7354431152	59,1440734863	58,671915927	2,0290684442	7,0318518663	4,7695144895	2,5389813094	1,1465244497	0,349718038	10,9339392177
59	66	0	35	61	68,3282241821	67,018157959	65,0992965698	62,7864875793	61,0812950134	59,9101715088	59,2253723145	53,7028696635	1,716273509	3,6820290308	5,3490854264	2,9076816869	1,3715302631	0,4689499366	9,8854885023
59	66	0	34	64	68,0205001831	66,8227005005	65,6435165405	63,197555542	61,3776664734	60,1042861938	59,3249893188	16,1644217224	1,4347240797	1,3904748114	5,9827252064	3,311996222	1,6214973363	0,6073036194	4,3590204282
59	66	0	33	63	67,7360687256	66,6486206055	66,0905761719	63,6335487366	61,69581604	60,3180923462	59,4430809021	22,4303469735	1,1825434139	0,3114135899	6,0369838178	3,7548080032	1,8981225766	0,7656450273	5,1971233432
59	66	0	32	61	67,4744796753	66,4956512451	66,0402297974	64,0952606201	62,0362701416	60,551940918	59,579826355	41,9188870658	0,9581050957	0,2074086951	3,7829051004	4,2394417906	2,2032332441	0,9450067236	7,7507125308
59	66	0	31	61	67,2353057861	66,3635482788	66,010055542	64,5835418701	62,3996200562	60,8062019348	59,7354431152	38,8790382466	0,7599611516	0,124957115	2,034941256	4,7695144895	2,5389813094	1,1465244497	7,1791311454
59	66	0	30	61	67,018157959	66,2521057129	66	65,0992965698	62,7864875793	61,0812950134	59,9101715088	36,2182252193	0,5868360437	0,0635572905	0,8112666691	5,3490854264	2,9076816869	1,3715302631	6,7583117999
59	66	0	29	61	66,8227005005	66,1611633301	66	65,6435165405	63,197555542	61,3776664734	60,1042861938	33,9038411184	0,4376314278	0,025973619	0,1270804569	5,9827252064	3,311996222	1,6214973363	6,487249341
59	66	0	28	61	66,6486206055	66,0905761719	66	66	63,6335487366	61,69581604	60,3180923462	31,9069147445	0,3114135899	0,0082040429	0	5,6000915822	3,7548080032	1,8981225766	6,2113649342
59	66	0	27	61	66,4956512451	66,0402297974	66	66	64,0952606201	62,0362701416	60,551940918	30,202182608	0,2074086951	0,0016184366	0	3,6280321053	4,2394417906	2,2032332441	5,7831309828
59	66	0	26	60	66,3635482788	66,010055542	66	66	64,5835418701	62,3996200562	60,8062019348	40,4947466967	0,124957115	0,0001011139	0	2,0063536337	4,7695144895	2,5389813094	7,1335220512
59	66	0	25	60	66,2521057129	66	66	66	65,0992965698	62,7864875793	61,0812950134	39,0888258452	0,0635572905	0	0	0,8112666691	5,3490854264	2,9076816869	6,8886309883
59	66	0	24	60	66,1611633301	66	66	66	65,6435165405	63,197555542	61,3776664734	37,9599335799	0,025973619	0	0	0,1270804569	5,9827252064	3,311996222	6,7725298692
59	66	0	23	60	66,0905761719	66	66	66	66	63,6335487366	61,69581604	37,0951181054	0,0082040429	0	0	0	5,6000915822	3,7548080032	6,6368888191
59	66	0	22	60	66,0402297974	66	66	66	66	64,0952606201	62,0362701416	36,484376005	0,0016184366	0	0	0	3,6280321053	4,2394417906	6,3362097625
59	66	0	21	60	66,010055542	66	66	66	66	64,5835418701	62,3996200562	36,1207676178	0,0001011139	0	0	0	2,0063536337	4,7695144895	6,128105265
59	66	0	20	60	66	66	66	66	66	65,0992965698	62,7864875793	36	0	0	0	0	0,8112666691	5,3490854264	6,0229074422
59	66	0	19	60	66	66	66	66	66	65,6435165405	63,197555542	36	0	0	0	0	0,1270804569	5,9827252064	6,0156865233
59	66	0	18	59	66	66	66	66	66	66	63,6335487366	49	0	0	0	0	0	5,6000915822	7,8000130832
59	66	0	17	59	66	66	66	66	66	66	64,0952606201	49	0	0	0	0	0	3,6280321053	7,5182903008
59	66	0	16	59	66	66	66	66	66	66	64,5835418701	49	0	0	0	0	0	2,0063536337	7,2866219477
59	66	0	15	59	66	66	66	66	66	66	65,0992965698	49	0	0	0	0	0	0,8112666691	7,1158952384
59	66	0	14	59	66	66	66	66	66	66	65,6435165405	49	0	0	0	0	0	0,1270804569	7,018154351
59	66	0	13	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	12	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	11	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	10	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	9	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	8	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	7	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	6	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	5	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	4	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	3	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	2	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	1	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	0	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-1	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-2	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-3	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-4	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-5	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-6	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-7	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-8	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-9	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-10	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-11	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-12	58	66	66	66	66	66	66	66	64	0	0	0	0	0	0	9,1428571429
59	66	0	-13	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-14	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-15	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-16	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-17	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-18	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-19	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-20	59	66	66	66	66	66	66	66	49	0	0	0	0	0	0	7
59	66	0	-21	59	66,010055542	66	66	66	66	66	66	49,1408787018	0,0001011139	0	0	0	0	0	7,0201399737
59	66	0	-22	59	66,0402297974	66	66	66	66	66	66	49,5648355997	0,0016184366	0	0	0	0	0	7,0809220052
59	66	0	-23	59	66,0905761719	66	66	66	66	66	66	50,2762704492	0,0082040429	0	0	0	0	0	7,183496356
